set_num,name,year,num_parts,theme_name,parent_theme,is_licensed,total_sets
1651-2,Maersk Line Container Truck,1980,305.0,Cargo,Town,False,1116
1652-1,Basic Set,1994,,Basic,Universal Building Set,False,441
1655-1,Viking Line Ferry,1985,,Ferries,Universal Building Set,False,441
1656-1,Evacuation Team,1991,,Fire,Town,False,1116
1656-2,Viking Line Ferry,1982,171.0,Ferries,Universal Building Set,False,441
1658-1,Viking Line Ferry,1982,201.0,Ferries,Universal Building Set,False,441
1660-1,Kronprins Frederik Ferry,1996,,Ferries,Universal Building Set,False,441
166-1,Flat Wagon,1978,,4.5V,Train,False,281
1661-2,Basic Building Set in Bucket,1989,418.0,Basic,Universal Building Set,False,441
1662-1,Basic Building Set in Bucket,1989,630.0,Basic,Universal Building Set,False,441
1663-1,Basic Building Set in Bucket,1989,,Basic,Universal Building Set,False,441
1665-1,Dual FX Racers,1990,,Race,Town,False,1116
1666-1,Brick Vac,1991,140.0,Basic,Universal Building Set,False,441
1668-1,Basic Building Set Trial Size,1992,30.0,Basic Set,Universal Building Set,False,441
1670-1,Basic Building Set Trial Size,1992,,Basic Set,Universal Building Set,False,441
167-1,Loading Ramp and Car Transport Wagon,1978,100.0,4.5V,Train,False,281
1675-1,LEGOLAND Triple Pack,1990,3.0,Value Packs,Value Packs,False,6
1676-1,Basic Building Set,1990,,Basic,Universal Building Set,False,441
1677-1,Rabbit,1990,,Easter,Seasonal,False,928
1678-1,Basic Building Set Trial Size,1991,49.0,Basic Set,Universal Building Set,False,441
1679-1,Basic Building Set,1990,,Basic,Universal Building Set,False,441
1680-1,Hay Cart with Smugglers,1990,67.0,Forestmen,Castle,False,256
1682-1,Space Shuttle,1990,419.0,Airport,Town,False,1116
1687-1,Midnight Transport,1993,,Airport,Town,False,1116
1688-1,Large Bucket for Her,1993,,Basic,Universal Building Set,False,441
1690-1,Helicopter,1990,,Airport,Town,False,1116
1693-1,Turbo Force,1992,26.0,Race,Town,False,1116
1694-1,Galactic Scout,1992,,Blacktron II,Space,False,332
1695-1,Treasure Chest,1992,,Crusaders,Castle,False,256
1696-1,Pirate Lookout,1992,,Pirates I,Pirates,False,88
1698-1,Basic Building Set Trial Size,1991,26.0,Basic Set,Universal Building Set,False,441
1699-1,Small Bucket,1993,,Basic,Universal Building Set,False,441
1-7,Basic Set,1973,107.0,Basic Set,Universal Building Set,False,441
170-1,Push Along Play Train,1972,,4.5V,Train,False,281
1701-1,Basic Building Set Trial Size,1994,26.0,Basic,Universal Building Set,False,441
1702-1,Fire Fighter 4 x 4,1994,59.0,Fire,Town,False,1116
1703-1,Dalmatian Station Building Set,1994,181.0,Basic,Universal Building Set,False,441
1704-1,Ice Planet Satellite Plough,1994,47.0,Ice Planet 2002,Space,False,332
1705-1,Large Dinosaur Bucket,1994,327.0,Basic,Universal Building Set,False,441
1708-1,Large Bucket,1994,665.0,Basic Set,Universal Building Set,False,441
1710-1,Snowmobile,1994,24.0,Off-Road,Town,False,1116
17101-1,Creative Toolbox,2017,846.0,Other,Other,False,75
171-1,Complete Train Set Without Motor,1972,146.0,4.5V,Train,False,281
1711-1,Ice Planet Scooter,1994,19.0,Ice Planet 2002,Space,False,332
1712-1,Crossbow Cart,1994,,Castle,Castle,False,256
1713-1,Shipwrecked Pirate,1994,23.0,Pirates I,Pirates,False,88
1714-1,Surveillance Scooter,1995,23.0,Spyrius,Space,False,332
1715-1,Special Value,1995,400.0,Supplemental,Universal Building Set,False,441
1715-2,Basic Bricks,1995,400.0,Bulk Bricks,Bulk Bricks,False,136
1716-1,Starter Set with Building Plates,1994,201.0,Basic,Universal Building Set,False,441
1719-1,Freestyle Bricks and Plates,1995,199.0,Freestyle,Freestyle,False,61
1720-1,Cactus Canyon Value Pack,1994,,Recreation,Town,False,1116
1721-1,Sandypoint Marina Value Pack,1994,,Recreation,Town,False,1116
1722-1,Rescue / Ice Planet Combi Pack,1994,,Value Packs,Value Packs,False,6
1723-1,Castle / Pirates Combi Pack,1994,2.0,Value Packs,Value Packs,False,6
1724-1,Bird,1994,9.0,Basic Model,Universal Building Set,False,441
1725-1,Dinosaur,1994,11.0,Basic Model,Universal Building Set,False,441
1726-1,Girl,1994,7.0,Basic Model,Universal Building Set,False,441
1727-1,Horse,1994,10.0,Basic Model,Universal Building Set,False,441
1728-1,Crystal Crawler,1996,,Aquanauts,Aquazone,False,37
1729-1,Barnacle Bay Value Pack,1994,,Pirates I,Pirates,False,88
1730-1,Snow Scooter,1994,,Off-Road,Town,False,1116
1731-1,Ice Planet Scooter,1994,19.0,Ice Planet 2002,Space,False,332
1732-1,Crossbow Cart,1994,23.0,Castle,Castle,False,256
1733-1,Shipwrecked Pirate,1994,,Pirates I,Pirates,False,88
1736-1,Wizard's Cart,1995,18.0,Castle,Castle,False,256
1737-1,Scorpion Detector,1996,,Exploriens,Space,False,332
1740-1,Kayak,1994,,Recreation,Town,False,1116
1741-1,Car,1994,36.0,Recreation,Town,False,1116
1742-1,Van,1994,81.0,Recreation,Town,False,1116
1743-1,"Box of Standard Bricks, 5+",1995,,Supplemental,Universal Building Set,False,441
1745-1,"Box of Standard Bricks, 3+",1995,404.0,Supplemental,Universal Building Set,False,441
1746-1,Wiz the Wizard,1995,18.0,Castle,Castle,False,256
1747-1,Treasure Surprise,1996,,Pirates I,Pirates,False,88
1749-1,Paravane,1996,16.0,Aquanauts,Aquazone,False,37
1750-1,Renault Formula 1 Racer,1992,,Race,Town,False,1116
1752-1,Boat with Armour,1996,21.0,Royal Knights,Castle,False,256
1756-1,{Basic Promotional Set},1995,8.0,Basic Model,Universal Building Set,False,441
1758-1,{Basic Promotional Set},1995,,Basic Model,Universal Building Set,False,441
1760-1,Go-Cart,1995,,Race,Town,False,1116
1761-1,Paradisa Speedboat,1995,,Paradisa,Town,False,1116
1762-1,Go-Cart,1995,,Race,Town,False,1116
1766-1,Small Freestyle Bucket,1995,,Freestyle,Freestyle,False,61
1767-1,{Basic Promotional Set},1995,6.0,Basic Model,Universal Building Set,False,441
1768-1,{Basic Promotional Set},1995,9.0,Basic Model,Universal Building Set,False,441
1769-1,Aircraft,1992,,Airport,Universal Building Set,False,441
1772-1,Airport Container Truck,1991,79.0,Airport,Town,False,1116
1773-1,Airline Maintenance Vehicle with Trailer,1996,108.0,Airport,Town,False,1116
1774-1,Aircraft,1991,,Airport,Town,False,1116
1775-1,Jet,1994,,Airport,Town,False,1116
1776-1,Large Bulk Bucket,1996,,Basic Set,Universal Building Set,False,441
1777-1,Sabah Promotional Set: Plane,1997,10.0,Basic Model,Universal Building Set,False,441
1778-1,Sabah Promotional Set: Boat,1997,,Basic Model,Universal Building Set,False,441
1779-1,Sabah Promotional Set: Helicopter,1997,10.0,Basic Model,Universal Building Set,False,441
1782-1,Discovery Station,1997,,Divers,Town,False,1116
1785-1,Introducing Crater Critters,1995,146.0,Space,Space,False,332
1786-1,Jailbreak Joe,1995,189.0,Police,Town,False,1116
1787-1,Crater Cruiser,1995,183.0,Unitron,Space,False,332
1788-1,Treasure Chest,1995,,Pirates I,Pirates,False,88
1789-1,Star Hawk II,1995,292.0,Unitron,Space,False,332
1790-1,Shark Fisherman,1994,20.0,Recreation,Town,False,1116
1791-1,Windsurfer & Van,1994,70.0,Recreation,Town,False,1116
1792-1,Pleasure Cruiser,1994,65.0,Recreation,Town,False,1116
1793-1,Space Station Zenon,1995,351.0,Unitron,Space,False,332
1794-1,Dragon Master Chariot,1994,36.0,Castle,Castle,False,256
1795-1,Imperial Cannon,1994,,Pirates,Pirates,False,88
1796-1,Freestyle Large Monster Bucket,1996,653.0,Freestyle,Freestyle,False,61
1798-1,Building Table,1995,3.0,Supplemental,Universal Building Set,False,441
1-8,Little House Set,1970,,Minitalia,Minitalia,False,17
180-1,Train with 5 Wagons and Circle of Track,1972,,4.5V,Train,False,281
1802-1,Tidy Treasure,1996,,Pirates I,Pirates,False,88
1804-1,Crossbow Boat,1996,21.0,Royal Knights,Castle,False,256
1806-1,Underwater Scooter,1996,16.0,Aquanauts,Aquazone,False,37
1807-1,Santa Claus and Sleigh,1995,17.0,Christmas,Seasonal,False,928
1808-1,Light Aircraft and Ground Support,1996,121.0,Airport,Town,False,1116
1809-1,Condor Promotional Airplane,1996,29.0,Airport,Universal Building Set,False,441
181-1,"Complete Train Set with Motor, Signals and Switch",1972,,4.5V,Train,False,281
1815-1,Paradisa Lifeguard,1996,,Paradisa,Town,False,1116
1817-1,Sea Plane with Hut and Boat,1996,134.0,Recreation,Town,False,1116
1818-1,Aircraft and Ground Support Equipment and Vehicle,1996,203.0,Airport,Town,False,1116
1819-1,Large Bucket,1995,950.0,Basic Set,Universal Building Set,False,441
182-1,Train Set with Signal,1975,368.0,4.5V,Train,False,281
1821-1,Rally Racers,1996,195.0,Race,Town,False,1116
1822-1,Sea Claw 7 / Neptune III,1995,,Aquanauts,Aquazone,False,37
1823-1,Sabah Promotional Set: Yacht,1997,10.0,Basic Model,Universal Building Set,False,441
1824-1,Flying Duck,1997,,Basic Model,Universal Building Set,False,441
1825-1,Racing Car,1997,19.0,Basic Model,Universal Building Set,False,441
1826-1,Bird? Boat? Plane?,1997,,Basic Model,Universal Building Set,False,441
1827-1,Helicopter,1997,,Basic Model,Universal Building Set,False,441
1828-1,{Basic Promotional Set},1995,7.0,Basic Model,Universal Building Set,False,441
183-1,Complete Train Set with Motor and Signal,1976,,4.5V,Train,False,281
1831-1,Maersk Line Container Lorry,1995,206.0,Cargo,Town,False,1116
1831-2,Maersk Sealand Container Lorry,1995,206.0,Cargo,Town,False,1116
1836-1,Freestyle Cat,1995,,Freestyle,Freestyle,False,61
1837-1,Freestyle Duck,1995,11.0,Freestyle,Freestyle,False,61
1838-1,Freestyle Bird,1995,,Freestyle,Freestyle,False,61
1839-1,Freestyle Fish,1995,21.0,Freestyle,Freestyle,False,61
1840-1,Freestyle Set,1995,24.0,Freestyle,Freestyle,False,61
1841-1,Plane,1999,15.0,Classic Basic,Universal Building Set,False,441
1843-1,Space/Castle Value Pack,1996,2.0,Technic,Technic,False,536
1843-2,Spyrius Fold-Wing Spacecraft,1996,,Spyrius,Space,False,332
1843-3,Royal Knight's Catapult,1996,,Royal Knights,Castle,False,256
1845-1,20th Anniversary Jackpot Bucket,1993,,Basic Set,Universal Building Set,False,441
1846-1,Freestyle Set,1996,25.0,Freestyle,Freestyle,False,61
1847-1,Freestyle Set,1996,33.0,Freestyle,Freestyle,False,61
1850-1,Freestyle Set,1995,,Freestyle,Freestyle,False,61
1853-1,Navigator,1996,,Time Cruisers,Time Cruisers,False,9
1854-1,House with Roof-Windows ( Velux ),1996,152.0,Building,Town,False,1116
1857-1,Basic Bricks,1996,950.0,Supplemental,Universal Building Set,False,441
1858-1,Droid Scout,1996,23.0,Exploriens,Space,False,332
1859-1,Sabah Promotional Set: Aeroplane,1997,9.0,Basic Model,Universal Building Set,False,441
1860-1,Freestyle Set,1995,,Freestyle,Freestyle,False,61
1863-1,Freestyle Trial Set,1995,,Freestyle,Freestyle,False,61
1865-1,Airliner,1994,28.0,Airport,Universal Building Set,False,441
1867-1,Medium Bulk Bucket,1997,,Basic Set,Universal Building Set,False,441
1868-1,Freestyle Box,1996,,Freestyle,Freestyle,False,61
1869-1,South African Flag,1996,,Basic Model,Universal Building Set,False,441
1870-1,Freestyle Set,1995,43.0,Freestyle,Freestyle,False,61
18703535-1,Hamster Play Time - Friends Magazine - Polish Edition,2016,,Books,Books,False,63
1871-1,Pirates Cannon,1994,17.0,Pirates I,Pirates,False,88
1872-1,Imperial Guard Camp,1994,28.0,Pirates,Pirates,False,88
1873-1,Pirate Treasure,1994,,Pirates I,Pirates,False,88
1874-1,Polly Pick-Up,1993,,Basic Set,Universal Building Set,False,441
1875-1,Meteor Monitor,1990,,Blacktron I,Space,False,332
1876-1,Soil Scooper,1990,73.0,Traffic,Town,False,1116
1877-1,Crusader's Cart,1990,60.0,Forestmen,Castle,False,256
1878-1,Small Bucket,1991,406.0,Basic,Universal Building Set,False,441
1879-1,Large Bucket,1992,,Basic,Universal Building Set,False,441
1880-1,XL Bucket,1992,,Basic,Universal Building Set,False,441
1881-1,Small Bucket,1991,288.0,Basic,Universal Building Set,False,441
1882-1,Large Bucket,1991,,Basic,Universal Building Set,False,441
1884-1,Small Bucket,1992,,Basic,Universal Building Set,False,441
1885-1,XL Bucket,1992,465.0,Basic,Universal Building Set,False,441
1887-1,Scout Patrol Ship,1992,30.0,Blacktron II,Space,False,332
1888-1,Black Knights Guardshack,1992,,Black Knights,Castle,False,256
1889-1,Pirate's Treasure Hold,1992,,Pirates I,Pirates,False,88
1890-1,Octan Racer,1992,,Race,Town,False,1116
1891-1,Four Set Value Pack,1992,4.0,Value Packs,Value Packs,False,6
1895-1,Sky Patrol,1992,89.0,Police,Town,False,1116
1896-1,Trauma Team,1992,,Hospital,Town,False,1116
1898-1,Weetabix Dragster,1989,27.0,Race,Town,False,1116
1899-1,Weetabix Racer,1989,,Race,Town,False,1116
190-1,Farm Set,1974,526.0,Building Set with People,Building Set with People,False,30
1901-2,Mini Basic Set,1984,,Basic Set,Universal Building Set,False,441
1905-1,Mini Basic Set,1982,36.0,Basic Set,Universal Building Set,False,441
1906-1,Majisto's Tower,1994,,Castle,Castle,False,256
1910-1,Promo Basic Set,1982,,Basic Set,Universal Building Set,False,441
1911-1,Basic Set,1983,34.0,Basic Set,Universal Building Set,False,441
1912-1,"LEGO Building Set A, Car",1983,,Basic Model,Universal Building Set,False,441
1913-1,"LEGO Building Set B, Boat",1983,27.0,Basic Model,Universal Building Set,False,441
1914-1,"LEGO Building Set C, Helicopter",1983,20.0,Basic Model,Universal Building Set,False,441
1915-1,"LEGO Building Set D, Aircraft",1983,20.0,Basic Model,Universal Building Set,False,441
1916-1,Starion Patrol,1993,23.0,Space Police II,Space,False,332
1917-1,King's Catapult,1993,22.0,Black Knights,Castle,False,256
19-2,Locomotive Piston Assemblies,1977,6.0,Train,Service Packs,False,456
1920-1,Promo Basic Set,1982,,Basic Set,Universal Building Set,False,441
192-1,Policemen,1977,86.0,Building Set with People,Building Set with People,False,30
1922-2,Basic Building Set,1983,,Basic Set,Universal Building Set,False,441
1923-1,Viking Line Ferry,1989,184.0,Ferries,Universal Building Set,False,441
1924-1,Motorcycle,1983,,Riding Cycle,Technic,False,536
1924-2,Viking Line Ferry,1992,,Ferries,Universal Building Set,False,441
1929-1,Guardsman,1988,13.0,Basic Model,Universal Building Set,False,441
1932-1,Basic Building Set + Storage Case,1984,,Basic Set,Universal Building Set,False,441
194-1,Family,1976,,Building Set with People,Building Set with People,False,30
1944-1,Basic Set with Storage Case,1983,142.0,Basic Set,Universal Building Set,False,441
195-1,Airplane,1975,89.0,Building Set with People,Building Set with People,False,30
1952-1,Dairy Tanker,1989,,Food & Drink,Town,False,1116
1953-1,Mouse,1989,,Basic Model,Universal Building Set,False,441
1954-1,Surveillance Scooter,1995,23.0,Spyrius,Space,False,332
1954-2,Basic Set with Storage Case,1984,141.0,Basic Set,Universal Building Set,False,441
1955-1,Color Line Ferry,1993,244.0,Ferries,Universal Building Set,False,441
1958-1,Windsurfer,1993,,Recreation,Town,False,1116
1959-1,Ultra-Light,1993,30.0,Airport,Town,False,1116
1960-2,Special Value 96 pieces (Canadian Set),1985,104.0,Basic,Universal Building Set,False,441
196-1,Antique Car,1975,115.0,Building Set with People,Building Set with People,False,30
1962-1,Basic Building Set,1985,219.0,Basic,Universal Building Set,False,441
1963-1,Basic Set with Storage Case,1986,,Basic,Universal Building Set,False,441
1964-1,Basic Building Set,1985,,Basic,Universal Building Set,False,441
1965-1,Basic Building Set,1985,38.0,Basic Set,Universal Building Set,False,441
1966-1,Car Repair Shop,1985,300.0,Traffic,Town,False,1116
1967-1,System Bonus Pack,1985,,Value Packs,Value Packs,False,6
1967-2,Town Value Pack,1985,,Traffic,Town,False,1116
1968-1,Space Express,1985,,Classic Space,Space,False,332
1969-1,Mini Robot,1993,38.0,Space Police II,Space,False,332
1969-2,Space Value Pack,1985,3.0,Classic Space,Space,False,332
1970-1,Pirate's Gun Cart,1993,,Pirates I,Pirates,False,88
197-1,Farm Vehicle and Animals,1976,120.0,Building Set with People,Building Set with People,False,30
1971-1,Black Knight's Battering Ram,1993,,Black Knights,Castle,False,256
1972-1,Go-Cart,1985,,Race,Technic,False,536
1973-1,Emirates Airliner,1989,,Airport,Town,False,1116
1974-1,Legoland Triple Pack,1989,,Value Packs,Value Packs,False,6
1974-2,Flyercracker USA,1989,74.0,Airport,Town,False,1116
1974-3,Smuggler's Hayride,1989,,Forestmen,Castle,False,256
1974-4,Star Quest,1989,,Futuron,Space,False,332
1976-1,Town 3-Pack,1984,3.0,Classic Town,Town,False,1116
1977-1,Space Value Pack,1983,3.0,Classic Space,Space,False,332
1978-1,Build-A-Santa,1991,,Christmas,Seasonal,False,928
1978-2,Town Value Pack,1983,3.0,Classic Town,Town,False,1116
1979-1,Snowman,1991,42.0,Christmas,Seasonal,False,928
1979-2,Town Value Pack,1984,,Classic Town,Town,False,1116
1980-1,Santa's Elves,1991,30.0,Christmas,Seasonal,False,928
198-1,Cowboys,1977,,Building Set with People,Building Set with People,False,30
1983-1,Space Value Pack,1984,3.0,Classic Space,Space,False,332
1990-1,F1 Race Car,1993,35.0,Race,Town,False,1116
199-1,Scooter,1977,41.0,Building Set with People,Building Set with People,False,30
1991-1,Racing Pickup,1993,81.0,Race,Town,False,1116
1992-1,Dragsters,1993,,Race,Town,False,1116
1993-1,Race Value Pack,1993,3.0,Race,Town,False,1116
1994-1,Turtle Bucket with Motor,1992,,Basic Set,Universal Building Set,False,441
1995-1,Racer,1999,15.0,Classic Basic,Universal Building Set,False,441
1997-1,Town Value Pack,1985,3.0,Classic Town,Town,False,1116
1998-1,Silja Line Ferry,1991,,Ferries,Universal Building Set,False,441
1999-1,Space Value Pack,1985,3.0,Classic Space,Space,False,332
20001-1,BrickMaster,2007,103.0,Creator,Creator,False,421
20002-1,Fire Truck,2008,56.0,Fire,Town,False,1116
20003-1,Dinosaur,2008,,Creator,Creator,False,421
2000409-1,Window Exploration Bag,2010,5200.0,Educational and Dacta,Educational and Dacta,False,333
20004-1,Jungle Cruiser,2008,83.0,Kingdom of the Crystal Skull,Indiana Jones,True,19
2000413-1,Connections Kit,2010,2045.0,Master Building Academy,Master Building Academy,False,21
2000414-1,Starter Kit,2010,239.0,Educational and Dacta,Educational and Dacta,False,333
2000415-1,Identity and Landscape Kit,2010,1536.0,Master Building Academy,Master Building Academy,False,21
2000416-1,Duck,2012,6.0,Educational and Dacta,Educational and Dacta,False,333
2000421-1,FLL Trophy Small,2013,233.0,FIRST LEGO League,FIRST LEGO League,False,18
2000422-1,FLL Trophy Medium,2013,,FIRST LEGO League,FIRST LEGO League,False,18
2000423-1,FLL Trophy Large,2013,,FIRST LEGO League,FIRST LEGO League,False,18
2000424-1,Story Starter (Sample Set),2014,96.0,Educational and Dacta,Educational and Dacta,False,333
2000430-1,Identity and Landscape Kit,2013,2844.0,Master Building Academy,Master Building Academy,False,21
2000431-1,Connections Kit,2013,,Master Building Academy,Master Building Academy,False,21
2000445-1,Crossing the River,2016,14.0,Educational and Dacta,Educational and Dacta,False,333
2000446-1,"Building My SG - Reflect, Celebrate, Inspire",2015,243.0,Learning,Educational and Dacta,False,333
20005-1,Winged Rahi (Klakk),2008,38.0,Bionicle,Bionicle,False,417
20006-1,Clone Turbo Tank - Mini,2008,64.0,Star Wars Episode 3,Star Wars,True,609
2000702-1,Mindstorms Education (LME) Replacement Pack 3,2015,4.0,Technic,Educational and Dacta,False,333
20007-1,Republic Attack Cruiser - Mini,2009,,Star Wars Episode 3,Star Wars,True,609
20008-1,Tow Truck,2009,,Creator,Creator,False,421
20009-1,AT-TE Walker - Mini,2009,,Star Wars Episode 2,Star Wars,True,609
200-1,Family,1974,78.0,Building Set with People,Building Set with People,False,30
20010-1,Republic Gunship - Mini,2009,,Star Wars Episode 2,Star Wars,True,609
20011-1,Garbage Truck,2009,74.0,Creator,Creator,False,421
20012-1,Click,2009,33.0,Bionicle,Bionicle,False,417
20013-1,Mini Neptune Carrier,2010,63.0,Mini,Atlantis,False,24
20014-1,4 x 4 Dynamo,2010,69.0,Creator,Creator,False,421
20015-1,Alligator,2010,89.0,Creator,Creator,False,421
20016-1,Imperial Shuttle - Mini,2010,70.0,Star Wars Episode 4/5/6,Star Wars,True,609
20017-1,Dagger Trap,2010,52.0,Prince of Persia,Prince of Persia,True,6
20018-1,AT-AT Walker - Mini,2010,,Star Wars Episode 4/5/6,Star Wars,True,609
20019-1,Slave I,2011,,Star Wars Episode 4/5/6,Star Wars,True,609
200-2,Building Ideas Book,1985,1.0,Gear,Gear,False,435
20020-1,Mini Turbo Shredder,2011,,Ninjago,Ninjago,False,199
20021-1,Bounty Hunter Gunship - Mini,2011,81.0,Star Wars Clone Wars,Star Wars,True,609
200-3,"LEGO Town Plan Board, Plastic",1957,1.0,Town Plan,Classic,False,354
200-4,"LEGO Town Plan Board, Continental European Cardboard Version",1959,1.0,Town Plan,Classic,False,354
200-5,"LEGO Town Plan Board, UK / Australian Cardboard Version",1962,1.0,Town Plan,Classic,False,354
2008-1,Heart 2008,2008,92.0,Valentine,Seasonal,False,928
2009-2,Heart 2009,2009,92.0,Valentine,Seasonal,False,928
200A-1,LEGO Town Plan Wooden Board,1957,1.0,Town Plan,Classic,False,354
200M-1,LEGO Town Plan Wooden Board,1957,1.0,Town Plan,Classic,False,354
20-1,Universal Building Set,1976,217.0,Basic Set,Universal Building Set,False,441
2010-1,Happy Holidays - The Christmas Game,2010,139.0,Game,Gear,False,435
2011-2,Lego Duck,2011,91.0,Other,Other,False,75
20200-1,"MBA Level One - Kit 1, Space Designer",2011,,Master Building Academy,Master Building Academy,False,21
20201-1,"MBA Level One - Kit 2, Microbuild Designer",2011,221.0,Master Building Academy,Master Building Academy,False,21
20202-1,"MBA Level One - Kit 3, Robot Designer",2011,,Master Building Academy,Master Building Academy,False,21
20203-1,"MBA Level Two - Kit 4, Flight Designer",2011,,Master Building Academy,Master Building Academy,False,21
20204-1,"MBA Level Two - Kit 5, Creature Designer",2012,232.0,Master Building Academy,Master Building Academy,False,21
20205-1,MBA Level Two - Kit 6 Auto Designer,2012,,Master Building Academy,Master Building Academy,False,21
20206-1,"MBA Level Three - Kit 7, The Lost Village",2012,229.0,Master Building Academy,Master Building Academy,False,21
20207-1,"MBA Level Three - Kit 8, The Forbidden Bridge",2012,220.0,Master Building Academy,Master Building Academy,False,21
20208-1,"MBA Level Three - Kit 9, The Dark Lair",2012,,Master Building Academy,Master Building Academy,False,21
20214-1,MBA Adventure Designer (Kits 7 - 9 Redesign),2013,3.0,Master Building Academy,Master Building Academy,False,21
20215-1,MBA Invention Designer (Kits 10 - 12),2013,675.0,Master Building Academy,Master Building Academy,False,21
20216-1,MBA Robot & Micro Designer (Kits 2 - 3 Redesign),2013,,Master Building Academy,Master Building Academy,False,21
20217-1,MBA Action Designer (Kits 4 - 6 Redesign),2013,,Master Building Academy,Master Building Academy,False,21
2025-1,Boat,1999,12.0,Classic Basic,Universal Building Set,False,441
2027-1,Pen Pack Alpha,2000,,Gear,Gear,False,435
2032-1,Helicopter,1999,18.0,Classic Basic,Universal Building Set,False,441
2045-1,Car,1999,,Classic Basic,Universal Building Set,False,441
2047-1,Plane,1999,13.0,Classic Basic,Universal Building Set,False,441
205-2,Universal Figure Set,1978,118.0,Building Set with People,Building Set with People,False,30
2063-1,Stormer 2.0,2011,31.0,Heroes,Hero Factory,False,97
2064-1,Air Ambulance,2007,116.0,Hospital,Town,False,1116
2065-1,Furno 2.0,2011,30.0,Heroes,Hero Factory,False,97
2067-1,Evo 2.0,2011,,Heroes,Hero Factory,False,97
2068-1,Nex 2.0,2011,31.0,Heroes,Hero Factory,False,97
2069-1,Boat,1999,15.0,Classic Basic,Universal Building Set,False,441
2070-1,Ring Me Rabbit,1987,,Duplo,Duplo,False,286
2075-1,Prop Plane,1999,14.0,Classic Basic,Universal Building Set,False,441
208-1,Mother with Baby Carriage,1978,,Building Set with People,Building Set with People,False,30
2-1,Extra Large Tires & Hubs,1982,,Technic,Technic,False,536
2-10,Mini-Wheel Model Maker No. 2,1971,63.0,Vehicle,Legoland,False,142
21000-1,Sears Tower,2008,,Architecture,Architecture,False,66
21000-2,Willis Tower,2011,,Architecture,Architecture,False,66
21001-1,John Hancock Center,2008,,Architecture,Architecture,False,66
21002-1,Empire State Building,2009,,Architecture,Architecture,False,66
21003-1,Seattle Space Needle,2009,,Architecture,Architecture,False,66
21004-1,Solomon R. Guggenheim Museum,2009,208.0,Architecture,Architecture,False,66
21005-1,Fallingwater,2009,,Architecture,Architecture,False,66
21006-1,The White House,2010,,Architecture,Architecture,False,66
21007-1,Rockefeller Center,2010,,Architecture,Architecture,False,66
21008-1,Burj Khalifa,2011,,Architecture,Architecture,False,66
21009-1,Farnsworth House,2011,546.0,Architecture,Architecture,False,66
210-1,Cowboys,1976,39.0,Building Set with People,Building Set with People,False,30
21010-1,Robie House,2011,2276.0,Architecture,Architecture,False,66
21011-1,Brandenburg Gate,2011,,Architecture,Architecture,False,66
21012-1,Sydney Opera House,2012,,Architecture,Architecture,False,66
21013-1,Big Ben,2012,346.0,Architecture,Architecture,False,66
21014-1,Villa Savoye,2012,659.0,Architecture,Architecture,False,66
21015-1,The Leaning Tower of Pisa,2013,,Architecture,Architecture,False,66
21016-1,Sungnyemun,2012,,Architecture,Architecture,False,66
21017-1,Imperial Hotel,2013,1187.0,Architecture,Architecture,False,66
21018-1,United Nations Headquarters,2013,596.0,Architecture,Architecture,False,66
21019-1,Eiffel Tower,2014,,Architecture,Architecture,False,66
210-2,Small Store Set,1958,,Town Plan,Classic,False,354
21020-1,The Trevi Fountain,2014,730.0,Architecture,Architecture,False,66
21021-1,Marina Bay Sands,2014,601.0,Architecture,Architecture,False,66
21022-1,Lincoln Memorial,2015,,Architecture,Architecture,False,66
21023-1,Flatiron Building,2015,,Architecture,Architecture,False,66
21024-1,Louvre,2015,694.0,Architecture,Architecture,False,66
21026-1,Venice,2016,,Skylines,Architecture,False,66
21027-1,Berlin,2016,289.0,Skylines,Architecture,False,66
21028-1,New York City,2016,597.0,Skylines,Architecture,False,66
21029-1,Buckingham Palace,2016,779.0,Architecture,Architecture,False,66
21030-1,United States Capitol Building,2016,1031.0,Architecture,Architecture,False,66
21031-1,Burj Khalifa,2016,,Architecture,Architecture,False,66
21032-1,Sydney,2017,361.0,Skylines,Architecture,False,66
21033-1,Chicago,2017,444.0,Skylines,Architecture,False,66
21034-1,London,2017,468.0,Skylines,Architecture,False,66
21035-1,Solomon R. Guggenheim Museum,2017,744.0,Architecture,Architecture,False,66
21036-1,Arc de Triomphe,2017,382.0,Architecture,Architecture,False,66
21050-1,Architecture Studio,2013,1210.0,Architecture,Architecture,False,66
2-11,Medium Basic LEGO Set,1976,130.0,Minitalia,Minitalia,False,17
21100-1,Shinkai 6500 Submarine,2011,412.0,LEGO Ideas and CUUSOO,LEGO Ideas and CUUSOO,False,18
21101-1,Hayabusa,2012,364.0,LEGO Ideas and CUUSOO,LEGO Ideas and CUUSOO,False,18
21102-1,Minecraft Micro World,2012,458.0,Minecraft,Minecraft,True,30
21103-1,Back to the Future Delorean,2013,,LEGO Ideas and CUUSOO,LEGO Ideas and CUUSOO,False,18
21104-1,Mars Science Laboratory Curiosity Rover,2014,,LEGO Ideas and CUUSOO,LEGO Ideas and CUUSOO,False,18
21105-1,Minecraft Micro World: The Village,2013,,Minecraft,Minecraft,True,30
21106-1,Minecraft Micro World: The Nether,2013,469.0,Minecraft,Minecraft,True,30
21107-1,Micro World - The End,2014,,Minecraft,Minecraft,True,30
